170000,25,12,11,2
m01,v,route66,2,0,1
m02,v,lijiang,2,0,1
m03,v,eichenwalde,2,0,1
m04,v,numbani,2,0,1
m05,v,gibraltar,2,0,1
m06,v,dorado,2,0,1
m07,v,hollywood,2,0,1
m08,v,kingsrow,2,0,1
m09,v,ilios,2,0,1
m10,v,anubis,2,0,1
m11,v,eichenwalde,2,0,1
m12,v,lijiang,2,0,1
m13,d,kingsrow,2,0,1
m14,d,oasis,2,0,1
m15,d,ilios,2,0,1
m16,d,anubis,2,0,1
m17,d,volskaya,2,0,1
m18,d,nepal,2,0,1
m19,d,anubis,2,0,1
m20,d,numbani,2,0,1
m21,d,route66,2,0,1
m22,d,dorado,2,0,1
m23,d,nepal,2,0,1
m24,e,hanamura,2,0,1
m25,e,hollywood,2,0,1
